word1,word2,similarity_score_1,similarity_score_2,similarity_score_3,similarity_score_4,similarity_score_5,similarity_score_6,similarity_score_7,similarity_score_8,similarity_score_9,similarity_score_10,similarity_score_11,similarity_score_12,similarity_score_13,similarity_score_14,similarity_score_15
old,new,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,dissimilar,very dissimilar,very dissimilar
smart,intelligent,very similar,very similar,very similar,very similar,very similar,very similar,very similar,very similar,very similar,very similar,very similar,very similar,very similar,very similar,very similar
hard,difficult,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar
happy,cheerful,very similar,similar,very similar,similar,similar,very similar,similar,similar,similar,similar,similar,similar,similar,similar,similar
hard,easy,dissimilar,dissimilar,very dissimilar,very dissimilar,very dissimilar,dissimilar,dissimilar,very dissimilar,dissimilar,very dissimilar,very dissimilar,dissimilar,dissimilar,dissimilar,very dissimilar
fast,rapid,similar,similar,similar,very similar,similar,similar,similar,similar,similar,very similar,similar,similar,similar,similar,similar
happy,glad,similar,similar,similar,similar,similar,very similar,similar,similar,similar,similar,similar,similar,very similar,similar,similar
short,long,similar,dissimilar,dissimilar,very dissimilar,dissimilar,similar,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,similar,dissimilar,very dissimilar
stupid,dumb,very similar,similar,very similar,very similar,similar,very similar,very similar,very similar,very similar,very similar,very similar,very similar,very similar,similar,similar
weird,strange,very similar,very similar,very similar,similar,similar,similar,similar,similar,very similar,similar,very similar,similar,very similar,similar,very similar
wide,narrow,dissimilar,dissimilar,dissimilar,very dissimilar,dissimilar,similar,dissimilar,dissimilar,dissimilar,very dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar
bad,awful,very similar,very similar,similar,very similar,similar,similar,very similar,similar,similar,very similar,similar,similar,very similar,very similar,similar
easy,difficult,very dissimilar,dissimilar,very dissimilar,very dissimilar,very dissimilar,dissimilar,dissimilar,very dissimilar,dissimilar,very dissimilar,very dissimilar,dissimilar,dissimilar,dissimilar,dissimilar
bad,terrible,very similar,very similar,similar,very similar,similar,similar,similar,similar,similar,very similar,similar,similar,very similar,very similar,similar
hard,simple,very dissimilar,dissimilar,very dissimilar,very dissimilar,very dissimilar,dissimilar,dissimilar,very dissimilar,dissimilar,very dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar
smart,dumb,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar
insane,crazy,very similar,very similar,very similar,very similar,similar,very similar,very similar,similar,similar,very similar,very similar,very similar,very similar,similar,very similar
happy,mad,similar,similar,similar,similar,similar,similar,similar,dissimilar,similar,very dissimilar,similar,similar,similar,similar,similar
large,huge,very similar,very similar,similar,very similar,similar,very similar,very similar,similar,similar,similar,similar,similar,similar,similar,similar
hard,tough,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar
new,fresh,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar
sharp,dull,very dissimilar,dissimilar,dissimilar,very dissimilar,dissimilar,similar,dissimilar,dissimilar,dissimilar,very dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar
quick,rapid,similar,similar,similar,very similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar
dumb,foolish,similar,similar,similar,very similar,similar,very similar,very similar,similar,similar,very similar,very similar,very similar,similar,similar,very similar
wonderful,terrific,very similar,very similar,very similar,very similar,similar,very similar,very similar,similar,similar,very similar,very similar,very similar,similar,very similar,similar
strange,odd,very similar,very similar,similar,very similar,similar,very similar,similar,similar,very similar,very similar,very similar,very similar,very similar,similar,very similar
happy,angry,similar,dissimilar,dissimilar,very dissimilar,dissimilar,similar,dissimilar,dissimilar,very dissimilar,very dissimilar,very dissimilar,dissimilar,dissimilar,dissimilar,dissimilar
narrow,broad,dissimilar,dissimilar,dissimilar,very dissimilar,dissimilar,similar,dissimilar,dissimilar,dissimilar,very dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar
simple,easy,similar,very similar,similar,very dissimilar,similar,similar,similar,similar,similar,very dissimilar,very similar,similar,similar,similar,similar
old,fresh,very dissimilar,dissimilar,dissimilar,very dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar
apparent,obvious,very similar,similar,similar,very similar,similar,very similar,similar,similar,similar,very similar,very similar,similar,similar,similar,very similar
inexpensive,cheap,very similar,similar,very similar,very similar,similar,similar,similar,similar,similar,very similar,similar,similar,similar,similar,similar
nice,generous,similar,similar,similar,similar,similar,very similar,similar,similar,similar,similar,similar,dissimilar,similar,similar,similar
weird,normal,very similar,dissimilar,dissimilar,very dissimilar,dissimilar,similar,similar,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,very dissimilar,very dissimilar
weird,odd,very similar,very similar,similar,similar,similar,very similar,similar,similar,very similar,very similar,very similar,similar,very similar,similar,very similar
bad,immoral,very similar,similar,similar,similar,dissimilar,similar,similar,very dissimilar,very dissimilar,similar,similar,similar,similar,similar,similar
sad,funny,very dissimilar,dissimilar,dissimilar,very dissimilar,dissimilar,neutral,dissimilar,dissimilar,dissimilar,very dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar
wonderful,great,very similar,very similar,very similar,very similar,similar,very similar,similar,similar,similar,very similar,similar,similar,similar,similar,similar
guilty,ashamed,very similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar
beautiful,wonderful,very similar,very similar,very similar,very similar,similar,very similar,similar,similar,similar,similar,very similar,very similar,similar,very similar,similar
confident,sure,very similar,similar,similar,similar,similar,very similar,similar,similar,similar,similar,similar,similar,similar,similar,similar
dumb,dense,similar,similar,similar,similar,similar,similar,similar,similar,similar,very similar,similar,dissimilar,similar,similar,similar
large,big,very similar,very similar,very similar,very similar,similar,very similar,very similar,similar,similar,very similar,very similar,very similar,similar,very similar,very similar
nice,cruel,very dissimilar,dissimilar,dissimilar,very dissimilar,dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,dissimilar,dissimilar,very dissimilar,very dissimilar
impatient,anxious,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar
big,broad,dissimilar,similar,similar,very similar,similar,similar,similar,similar,similar,very similar,similar,similar,similar,similar,similar
strong,proud,very similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar
unnecessary,necessary,dissimilar,dissimilar,dissimilar,very dissimilar,dissimilar,very dissimilar,dissimilar,very dissimilar,similar,very dissimilar,dissimilar,dissimilar,similar,very dissimilar,similar
restless,young,similar,dissimilar,dissimilar,similar,dissimilar,similar,dissimilar,similar,very dissimilar,similar,dissimilar,dissimilar,dissimilar,similar,dissimilar
dumb,intelligent,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar
bad,great,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar
difficult,simple,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar
necessary,important,dissimilar,dissimilar,dissimilar,similar,dissimilar,similar,similar,dissimilar,dissimilar,dissimilar,dissimilar,very dissimilar,neutral,neutral,neutral
bad,terrific,very dissimilar,very dissimilar,very dissimilar,dissimilar,dissimilar,very dissimilar,dissimilar,dissimilar,neutral,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,dissimilar
mad,glad,dissimilar,similar,dissimilar,dissimilar,neutral,dissimilar,neutral,dissimilar,neutral,neutral,dissimilar,dissimilar,very dissimilar,similar,similar
honest,guilty,very dissimilar,very dissimilar,very dissimilar,very dissimilar,dissimilar,very dissimilar,very dissimilar,dissimilar,very dissimilar,very dissimilar,dissimilar,dissimilar,dissimilar,very dissimilar,dissimilar
easy,tough,dissimilar,similar,dissimilar,similar,dissimilar,very dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,neutral,dissimilar,dissimilar
easy,flexible,neutral,similar,similar,similar,similar,similar,similar,neutral,similar,similar,neutral,dissimilar,similar,similar,neutral
certain,sure,similar,similar,dissimilar,similar,similar,similar,similar,similar,similar,similar,similar,dissimilar,similar,similar,similar
essential,necessary,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,dissimilar,similar,similar,similar
different,normal,dissimilar,dissimilar,dissimilar,very dissimilar,dissimilar,very dissimilar,neutral,similar,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar
sly,clever,dissimilar,similar,similar,similar,similar,dissimilar,dissimilar,similar,similar,similar,dissimilar,neutral,dissimilar,similar,dissimilar
crucial,important,similar,similar,similar,similar,dissimilar,similar,similar,similar,similar,similar,similar,neutral,similar,neutral,similar
harsh,cruel,dissimilar,similar,similar,similar,dissimilar,similar,similar,similar,similar,similar,dissimilar,neutral,neutral,similar,similar
childish,foolish,similar,similar,similar,similar,similar,similar,very similar,similar,similar,similar,similar,neutral,similar,similar,similar
scarce,rare,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,neutral,similar,similar,similar
friendly,generous,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,dissimilar,neutral,similar,similar,similar
fragile,frigid,dissimilar,dissimilar,very dissimilar,very dissimilar,very dissimilar,dissimilar,dissimilar,similar,dissimilar,similar,dissimilar,neutral,dissimilar,dissimilar,dissimilar
long,narrow,similar,similar,similar,dissimilar,similar,similar,similar,similar,dissimilar,similar,dissimilar,neutral,similar,dissimilar,similar
big,heavy,similar,similar,similar,dissimilar,similar,dissimilar,dissimilar,similar,similar,similar,dissimilar,neutral,dissimilar,similar,similar
rough,frigid,dissimilar,dissimilar,very dissimilar,very dissimilar,very dissimilar,dissimilar,dissimilar,similar,dissimilar,similar,similar,neutral,neutral,dissimilar,dissimilar
bizarre,strange,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,neutral,similar,similar,similar
illegal,immoral,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,neutral,similar,similar,similar
bad,guilty,very dissimilar,very dissimilar,very dissimilar,dissimilar,dissimilar,very dissimilar,very dissimilar,similar,dissimilar,dissimilar,dissimilar,similar,dissimilar,similar,dissimilar
modern,ancient,dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,similar,very dissimilar,very dissimilar,very dissimilar,similar,very dissimilar,very dissimilar,very dissimilar
new,ancient,dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,very dissimilar,similar,very dissimilar,dissimilar,very dissimilar,similar,neutral,dissimilar,very dissimilar
dull,funny,similar,similar,similar,dissimilar,dissimilar,dissimilar,dissimilar,similar,neutral,similar,dissimilar,similar,dissimilar,similar,similar
happy,young,similar,similar,dissimilar,similar,similar,similar,dissimilar,similar,similar,dissimilar,dissimilar,similar,similar,dissimilar,similar
