word1,word2,similarity_score_1,similarity_score_2,similarity_score_3,similarity_score_4,similarity_score_5,similarity_score_6,similarity_score_7,similarity_score_8,similarity_score_9,similarity_score_10,similarity_score_11,similarity_score_12,similarity_score_13,similarity_score_14,similarity_score_15
oud,nieuw,0.1,1.91,1.0,0.14,2.0,0.25,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,0.2
slim,intelligent,8.5,9.0,8.7,9.0,9.0,9.5,8.5,9.0,9.0,9.5,8.5,8.5,8.5,8.5,8.5
hard,moeilijk,7.5,7.2,7.5,8.0,9.5,8.0,8.5,8.5,8.5,8.5,8.5,7.5,6.5,7.5,9.0
gelukkig,vrolijk,5.8,6.5,7.5,8.5,0.65,7.5,7.5,9.0,7.5,7.5,6.5,7.5,7.5,7.5,7.5
hard,stoer,6.0,0.3,6.0,6.5,7.5,7.5,0.6,5.5,5.65,0.3,6.5,0.2,5.0,0.4,6.0
snel,razendsnel,9.5,8.5,9.0,9.0,9.0,9.5,9.0,8.5,8.5,9.0,9.0,8.5,8.9,9.0,9.0
gelukkig,blij,7.5,7.95,7.8,8.6,7.5,7.5,7.5,8.5,8.8,8.5,6.75,7.5,7.5,8.5,7.5
kort,lang,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.0,0.1,1.0,0.0,0.0,0.0,0.0
dom,stom,8.5,8.5,8.0,9.0,9.0,8.5,8.5,8.5,9.5,9.0,9.0,9.0,8.5,9.0,9.5
vreemd,eigenaardig,8.5,8.5,8.5,8.5,7.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,7.5,7.5
breed,smal,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.75,1.0,1.0,1.0,1.0,1.0
makkelijk,moeilijk,7.8,8.5,8.7,7.5,9.2,9.5,8.5,9.75,7.8,9.2,9.6,9.5,8.5,9.45,9.8
moeilijk,gemakkelijk,9.7,9.5,9.5,9.8,8.5,8.5,8.5,9.8,7.5,9.0,9.0,8.5,9.5,1.0,9.0
slim,dom,1.0,1.0,1.0,1.0,2.14,1.0,1.0,0.1,1.0,1.0,1.0,1.0,2.0,1.67,1.0
krankzinnig,gek,9.5,9.5,8.5,9.0,9.5,9.5,9.0,9.5,9.8,8.0,9.0,9.0,9.5,9.5,9.8
gelukkig,kwaad,2.67,0.1,0.12,0.25,1.2,0.2,1.2,0.05,1.2,1.2,0.21,0.0,1.0,0.1,0.1
uitgebreid,groot,2.15,2.5,3.2,3.2,3.5,0.15,0.12,2.53,4.2,3.64,3.12,2.75,3.21,0.21,2.56
moeilijk,simpel,1.0,0.1,2.5,1.2,1.0,1.0,1.5,1.2,2.5,1.5,1.0,1.5,0.1,1.9,1.2
nieuw,vers,8.5,8.5,7.0,6.67,6.5,6.33,6.0,7.5,8.25,5.0,7.5,7.5,5.67,6.33,7.5
scherp,saai,1.57,0.0,2.5,0.2,0.1,1.2,0.21,1.5,1.5,1.2,1.5,0.12,1.2,1.5,1.2
vlug,snel,9.5,9.0,8.0,9.0,8.5,9.0,8.8,9.0,8.5,8.5,9.5,8.5,9.0,9.0,9.0
dom,dwaas,7.5,8.5,8.5,8.5,8.0,9.0,8.5,7.5,9.5,8.5,8.25,9.0,9.5,9.0,8.5
prachtig,fantastisch,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,9.0,8.5,8.5
eigenaardig,vreemd,8.5,7.5,7.65,7.5,8.5,7.5,7.0,7.5,7.5,8.5,8.5,8.5,7.5,7.5,7.5
gelukkig,boos,0.1,0.1,0.1,0.11,1.57,0.1,0.1,1.2,1.2,0.1,0.0,1.2,1.2,0.1,0.2
smal,breed,0.0,0.1,1.0,0.1,0.0,0.1,1.0,1.0,1.0,0.0,1.0,1.0,0.1,2.0,0.01
eenvoudig,gemakkelijk,9.5,8.5,8.5,8.5,9.5,8.0,9.0,8.0,9.0,9.5,8.5,9.5,9.5,8.5,8.5
oud,vers,2.5,3.67,1.2,2.5,1.43,1.5,1.23,2.5,0.0,1.0,1.5,1.0,2.56,0.14,2.0
kennelijk,duidelijk,7.5,8.2,7.5,8.5,8.5,8.5,8.5,8.5,8.5,8.75,6.67,7.5,7.5,8.5,8.5
betaalbaar,goedkoop,9.0,9.0,8.5,9.5,9.5,8.5,9.0,8.5,9.5,9.5,9.8,8.5,9.5,8.5,9.0
leuk,grootmoedig,0.0,0.15,0.0,0.1,0.15,0.1,0.0,0.1,0.0,0.1,0.1,0.05,0.05,0.1,0.21
